Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Roosevelt Lake (Roosevelt Dam),42,"2,093.87","687,025",57.13,"966,018",-292,0.00,2013-01-01,66,44 ,89,28
Apache Lake (Horse Mesa Dam),93,"1,907.07","227,100",6.93,"18,038",-563,0.00,2013-01-01,66,44 ,89,28
Canyon Lake (Mormon Flat Dam),96,"1,658.14","55,626",2.36,"2,226",-816,0.00,2013-01-01,66,44 ,89,28
Saguaro Lake (Stewart Mountain Dam),94,"1,525.46","65,376",3.54,"4,389","1,319",0.00,2013-01-01,66,44 ,89,28
Total Salt system,51,,"1,035,127",,"990,671",-352,,2013-01-01,66,44 ,89,28
Horseshoe Lake (Horseshoe Dam),0,"1,952.01",141,73.99,"109,076",-87,0.00,2013-01-01,66,44 ,89,28
Bartlett Lake (Bartlett Dam),57,"1,765.26","101,536",32.74,"76,650",479,0.00,2013-01-01,66,44 ,89,28
Total Verde system,35,,"101,677",,"185,726",392,,2013-01-01,66,44 ,89,28
Total Reservoir System,49,,"1,136,804",,"1,176,397",40,,2013-01-01,66,44 ,89,28
Total system year ago,66,,,,,,,2013-01-01,66,44 ,89,28
Roosevelt Lake (Roosevelt Dam),42,"2,093.90","687,349",57.10,"965,694",324,0.00,2013-01-02,66,45 ,82,28
Apache Lake (Horse Mesa Dam),92,"1,906.87","226,591",7.13,"18,547",-509,0.00,2013-01-02,66,45 ,82,28
Canyon Lake (Mormon Flat Dam),96,"1,658.18","55,664",2.32,"2,188",38,0.00,2013-01-02,66,45 ,82,28
Saguaro Lake (Stewart Mountain Dam),94,"1,525.66","65,619",3.34,"4,146",243,0.00,2013-01-02,66,45 ,82,28
Total Salt system,51,,"1,035,223",,"990,575",96,,2013-01-02,66,45 ,82,28
Horseshoe Lake (Horseshoe Dam),0,"1,952.21",165,73.79,"109,052",24,0.00,2013-01-02,66,45 ,82,28
Bartlett Lake (Bartlett Dam),57,"1,765.31","101,631",32.69,"76,555",95,0.00,2013-01-02,66,45 ,82,28
Total Verde system,35,,"101,796",,"185,607",119,,2013-01-02,66,45 ,82,28
Total Reservoir System,49,,"1,137,019",,"1,176,182",215,,2013-01-02,66,45 ,82,28
Total system year ago,66,,,,,,,2013-01-02,66,45 ,82,28
