Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Roosevelt Lake (Roosevelt Dam),40,"2,091.14","648,796",59.86,"982,736",733,0.99,2019-01-01,66,44 ,100,41
Apache Lake (Horse Mesa Dam),91,"1,905.94","224,228",8.06,"20,910",115,0.90,2019-01-01,66,44 ,100,41
Canyon Lake (Mormon Flat Dam),95,"1,657.36","54,896",3.14,"2,956",-75,0.75,2019-01-01,66,44 ,100,41
Saguaro Lake (Stewart Mountain Dam),95,"1,526.04","66,078",2.96,"3,687",202,0.89,2019-01-01,66,44 ,100,41
Total Salt system,50,,"993,998",,"1,010,289",975,,2019-01-01,66,44 ,100,41
Horseshoe Lake (Horseshoe Dam),6,"1,967.91","6,375",58.09,"102,842",79,0.27,2019-01-01,66,44 ,100,41
Bartlett Lake (Bartlett Dam),45,"1,752.93","79,775",45.07,"98,411",107,0.32,2019-01-01,66,44 ,100,41
Total Verde system,30,,"86,150",,"201,253",186,,2019-01-01,66,44 ,100,41
Total Reservoir System,47,,"1,080,148",,"1,211,542","1,161",,2019-01-01,66,44 ,100,41
Total system year ago,61,,,,,,,2019-01-01,66,44 ,100,41
Roosevelt Lake (Roosevelt Dam),40,"2,091.16","649,041",59.84,"982,491",245,0.00,2019-01-02,66,45 ,100,42
Apache Lake (Horse Mesa Dam),91,"1,905.94","224,228",8.06,"20,910",0,0.00,2019-01-02,66,45 ,100,42
Canyon Lake (Mormon Flat Dam),95,"1,657.36","54,896",3.14,"2,956",0,0.00,2019-01-02,66,45 ,100,42
Saguaro Lake (Stewart Mountain Dam),95,"1,526.03","66,070",2.97,"3,695",-8,0.00,2019-01-02,66,45 ,100,42
Total Salt system,50,,"994,235",,"1,010,052",237,,2019-01-02,66,45 ,100,42
Horseshoe Lake (Horseshoe Dam),6,"1,968.02","6,458",57.98,"102,759",83,0.00,2019-01-02,66,45 ,100,42
Bartlett Lake (Bartlett Dam),45,"1,752.98","79,851",45.02,"98,335",76,0.00,2019-01-02,66,45 ,100,42
Total Verde system,30,,"86,309",,"201,094",159,,2019-01-02,66,45 ,100,42
Total Reservoir System,47,,"1,080,544",,"1,211,146",396,,2019-01-02,66,45 ,100,42
Total system year ago,61,,,,,,,2019-01-02,66,45 ,100,42
Roosevelt Lake (Roosevelt Dam),40,"2,091.18","649,285",59.82,"982,247",244,0.00,2019-01-03,66,45 ,85,26
Apache Lake (Horse Mesa Dam),91,"1,905.90","224,131",8.10,"21,007",-97,0.00,2019-01-03,66,45 ,85,26
Canyon Lake (Mormon Flat Dam),95,"1,657.20","54,747",3.30,"3,105",-149,0.00,2019-01-03,66,45 ,85,26
Saguaro Lake (Stewart Mountain Dam),95,"1,526.13","66,188",2.87,"3,577",118,0.00,2019-01-03,66,45 ,85,26
Total Salt system,50,,"994,351",,"1,009,936",116,,2019-01-03,66,45 ,85,26
Horseshoe Lake (Horseshoe Dam),6,"1,968.11","6,528",57.89,"102,689",70,0.00,2019-01-03,66,45 ,85,26
Bartlett Lake (Bartlett Dam),45,"1,752.93","79,769",45.07,"98,417",-82,0.00,2019-01-03,66,45 ,85,26
